# HOW TO READ THIS SCHEDULE:
# - Columns represent sprint/week numbers. Sprint 0 = Week 1 (setup). Sprint 1 = Weeks 2-3. Each sprint = 2 weeks. Total template covers ~15 weeks (7 sprints).
# - Numbers in cells = estimated HOURS for that task in that week (not days, not story points).
# - Blank cells = no work allocated in that week for that task.
# - Phases: Refactor Phase (Sprints 0-5) -> Integration Phase (Sprint 6) -> Test Phase (Sprints 7-9) -> Production Cutover (Sprint 10) -> Burn-in & Knowledge Transfer (Sprints 11-14).
# - CDRL Documents: hours shown are estimated effort to produce each required deliverable.
# - Role totals at the bottom show total hours per role across all 15 weeks. Reference total = ~896 hours (Engineer + DevOps + PM).
# - MILESTONES are marked with * and have no hours — they are date markers only.
# - Interface inventory rows (Trading Partner, Interface Direction, etc.) appear in a separate tab in the original — use app-analysis-guide.md for the interface inventory schema.
,Sprint 0,Sprint 1,,Sprint 2,,Sprint 3,,Sprint 4,,Sprint 5,,Sprint 6,,Sprint 7,,
AF-PKI Certificate Request,,,,,,,,,,,,,,,,
AWS GovCloud Account for Dev/Test/Prod,,,,,,,,,,,,,,,,
AWS Cloud One Environment Set up for Dev/Test/Prod,,,,,,,,,,,,,,,,
DevLab account acquisition,,,,,,,,,,,,,,,,
ENGINEER #1 (Isobar) ,,,,,,,,,,,,,,,,
DevOps automation support,,5,10,,,,,,,,,,,,,
GCDS Integration Task 1,8,7,15,,,,,,,,,,,,,
Refactor Task 1 ,,7,10,10,10,10,,,,,,,,,,
Refactor Task 2,,,,25,15,25,,,,,,,,,,
Refactor Task 3,,,,,10,,,,,,,,,,,
Internal QA,,3,3,3,3,3,3,3,3,3,3,,,,,
Meetings / Team Communication,10,2,2,2,2,2,2,2,2,2,2,,,,,
DEVOPS #1 (Isobar),,,,,,,,,,,,,,,,
"Completing GCDS, DNS forms for submission",,,,,,,,,,,,,,,,
Establish DevLab Accounts,,,,,,,,,,,,,,,,
DevOps automation framework,,19,20,,,,,,,,,,,,,
DevOps Task 1,,,15,,,,,,,,,,,,,
DevOps Task 2,,,,15,,15,,,,,,,,,,
DevOps Task 3,,,,20,,20,,,,,,,,,,
Load Test Data,,,,,15,,,,,,,,,,,
Internal QA,,3,3,3,3,3,3,3,3,3,3,,,,,
Meetings / Team Communication,,2,2,2,2,2,2,2,2,2,2,,,,,
Integration Phase,,,,,,,,,,,,,,,,
ENGINEER #1 (Isobar) ,,,,,,,,,,,,,,,,
QA Remediation,,,,,,,15,,,,,,,,,
DEVOPS #1 (Isobar),,,,,,,,,,,,,,,,
DevOps automation,,,,,,,,,,,,,,,,
Deploy to Cloud One Integration,,,,,,,5,,,,,,,,,
ATO & Security Hardening,,,,,,,30,,,,,,,,,
Test Phase,,,,,,,,,,,,,,,,
ENGINEER #1 - REFACTOR (Isobar) ,,,,,,,,,,,,,,,,
Develop load test scripts,,,,,,,,10,,,,,,,,
Run load test ,,,,,,,,10,,,,,,,,
Performance Tuning,,,,,,,,15,,,,,,,,
UAT,,,,,,,,,20,,,,,,,
UAT Remediation (Developer),,,,,,,,,,35,,,,,,
DEVOPS #1 (Isobar),,,,,,,,,,,,,,,,
* MILESTONE: All sites upgraded to required release version,,,,,,,,,,,,,,,,
Data Migration to Test,,,,,,,,20,,,,,,,,
Performance Tuning,,,,,,,,15,,,,,,,,
UAT,,,,,,,,,20,,,,,,,
UAT Remediation,,,,,,,,,,15,,,,,,
Production Cutover Phase,,,,,,,,,,,,,,,,
* MILESTONE: ATO in place / ORR Dry Run,,,,,,,,,,,,,,,,
DEVOPS #1 (Isobar),,,,,,,,,,,,,,,,
Initial Data Migration to Prod,,,,,,,,,,20,,,,,,
Test App in Production,,,,,,,,,,,8,,,,,
Final Data Sync ,,,,,,,,,,,8,,,,,
* MILESTONE: ORR Actual,,,,,,,,,,,,,,,,
Cutover,,,,,,,,,,,8,,,,,
ENGINEER #1 (Isobar) ,,,,,,,,,,,,,,,,
Cutover,,,,,,,,,,,8,,,,,
Burn-in Phase & Knowledge Transfer,,,,,,,,,,,,,,,,
ENGINEER #1 (Isobar) ,,,,,,,,,,,,,,,,
Knowledge transfer sessions,,,,,,,,,,,27,,,,,
Burn-in phase,,,,,,,,,,,,2,2,2,2,
DEVOPS #1 (Isobar),,,,,,,,,,,,,,,,
Knowledge transfer sessions,,,,,,,,,,,8,,,,,
Burn-in phase,,,,,,,,,,,,8,8,8,8,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Role,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Total hours
 Engineer #1 ,40,24,40,40,40,,40,40,40,40,40,2,2,2,2,392
 DevOps #1 ,40,24,40,40,40,,40,40,40,40,40,8,8,8,8,416
 Project Manager ,8,8,8,8,8,,8,8,8,8,8,2,2,2,2,88
 Total ,,,,,,,,,,,,,,,,896
